amps,record_name,LRF,LMH,LTA,LSOL,RRF,RMH,RTA,RSOL
40,rc t11/t12,0.12696463802023,0.0362229871251379,0.00417485260671878,0.00466601184589638,0.0747789783778207,0.0230844800330136,0.0049115913396926,0.0184184678669179
50,rc t11/t12,0.167116894210056,0.0507121795233812,0.00135068789058488,0.0019646368652249,0.0978634562380533,0.0326620828984033,0.00798133520655201,0.0182956782000697
60,rc t11/t12,0.208865421923983,0.0621316302504175,0.000613948974640024,0.00135068779909936,0.123403731826556,0.042853634258134,0.00712180680672991,0.0185412568018821
70,rc t11/t12,0.246070726109451,0.0774803539760194,0.00491159161414915,0.00233300595725526,0.145751474613236,0.0507121806212074,0.00380648360617394,0.0158398826674516
80,rc t11/t12,0.278118852577144,0.085584477843079,0.00171905698261524,0,0.172396852812068,0.062745579316543,0.00798133520655201,0.012033397871966
90,rc t11/t12,0.307097252011313,0.094670924899998,0.00749017690510097,0.00110510823668901,0.195481336527374,0.0723231828452027,0.00515717067338916,0.00577111900763055
100,rc t11/t12,0.352406674208767,0.108300588166535,0.00491159152266363,0.00294695497763804,0.218074655720214,0.0848477413057576,0.00687622747303336,0.0730599215781765
110,rc t11/t12,0.39734773326075,0.148944007415059,0.00675343817212715,0.00294695497763804,0.241650298102912,0.0935658149708269,0.00896365546887483,0.0235756382658505
120,rc t11/t12,0.433816308227738,0.201129667057468,0.00884086488717137,0.0105599216868156,0.268050102823122,0.106704322497507,0.00773575587285545,0.0194007859335883
130,rc t11/t12,0.47065324341266,0.256016697906771,0.00994597262069003,0.00442043214625775,0.290152260421031,0.184307465134034,0.00613948947194368,0.0184184685988021
140,rc t11/t12,0.500982323327088,0.269277996564068,0.0146119841692585,0.00994597250633313,0.317779958882187,0.214636542120925,0.00884086507014241,0.0209970527004422
150,rc t11/t12,0.534135562651489,0.321954810482565,0.0142436153516847,0.00699901775740888,0.345162080937182,0.258840866099354,0.0216110008517125,0.0250491142680299
60,rc L1/L2,0.236738702646372,0.0701129673781654,0.00994597305524624,0.000859528376950721,0.142313358086411,0.0536591359190448,0.00491159060780845,0.0227161102319705
70,rc L1/L2,0.285117878225179,0.0831286837742293,0.0186640473835855,0.00270137543809907,0.170186641736336,0.0613948904196174,0.00687622747303336,0.0205058943989911
80,rc L1/L2,0.308570725085956,0.0929518681003538,0.00650785892991611,0.00110510821381763,0.19155205840562,0.0746561894428566,0.00920923370474517,0.022961689199725
90,rc L1/L2,0.360019639408434,0.105844793365801,1,0.00331532438986771,0.22212672058128,0.0846021612401769,0.0141208265996916,0.0310658145305529
100,rc L1/L2,0.389611993031918,0.116527501700443,0.00834970557937962,0.00454322222479086,0.249754421969972,0.0981090377674023,0.0117878174404432,0.0240667983970119
110,rc L1/L2,0.435903741346768,0.135191554481674,0.01927799626674,0.00282416501346183,0.277382123358664,0.111984284027057,0.013261296004217,0.0222249511986353
120,rc L1/L2,0.477529464756164,0.148944008878828,0.0164538311846641,0.00982318272512795,0.300834973146978,0.137892925688568,0.0166994092375634,0.0230844799643995
130,rc L1/L2,0.506507861262797,0.188850685734957,0.0133840864029495,0.0141208254332512,0.364931240720048,0.158644401342451,0.0108055012034832,0.0202603128696421
140,rc L1/L2,0.543958735999351,0.247544207966703,0.016453830818722,0.0219793717277105,0.349336935465097,0.171168961998659,0.0132612967361012,0.0213654227988132
150,rc L1/L2,0.592829081955698,0.242387039031539,0.0189096267172821,0.00982318254215692,0.476301573942754,0.177676820196691,0.0243123766328823,0.035486248026222
60,rc T11/T12 L1/L2,0.211075641782325,0.0617632612498727,0.0190324165671014,0.00110510803084659,0.130771122083831,0.0465373284719162,0.0108055015694252,0.0389243619914525
70,rc T11/T12 L1/L2,0.23661591590706,0.0693762271814233,0.00908644422086793,0.00356090370069289,0.152873284073046,0.0578339886172491,0.011910609668886,0.0165766206685413
80,rc T11/T12 L1/L2,0.293222007947312,0.0874263257733398,0.0088408645212293,0.000368369389358291,0.178536347864629,0.0682711201797888,0.0144891941364681,0.0198919431372131
90,rc T11/T12 L1/L2,0.33558447521287,0.10191552109912,0.0105599213208735,0.000491159216306226,0.205918466992088,0.0768664049098939,0.00982318203898657,0.0590618871154422
100,rc T11/T12 L1/L2,0.373158148398883,0.110510805097341,0.00957760325420312,0.000736738984558997,0.233177802307771,0.0881630645063136,0.012278979767257,0.0196463652672849
110,rc T11/T12 L1/L2,0.414661102634186,0.125491159090514,0.0109282906873604,0.00012279017001863,0.257858548764568,0.0976178776362409,0.0126473473040336,0.0162082531317648
120,rc T11/T12 L1/L2,0.450884086557331,0.137892927152336,0.0149803539016875,0.00442043242071431,0.281065819219186,0.108055011028491,0.00884086397231619,0.0173133608652834
130,rc T11/T12 L1/L2,0.484405703664887,0.189096265068654,0.00908644422086793,0.0121561882706984,0.304027501557497,0.120947937025822,0.0153487225362902,0.0234528485990023
140,rc T11/T12 L1/L2,0.519032418991468,0.246070729036987,0.00749017699658649,0.00613948947194368,0.3282170893469,0.128683693356105,0.0133840885986019,0.0184184678669179
150,rc T11/T12 L1/L2,0.555992135060629,0.262401769365491,0.0138752458022267,0.00306974487320012,0.382981339311965,0.169695483068943,0.0271365424468424,0.0287328097626093
