amps,record_name,LRF,LMH,LTA,LSOL,RRF,RMH,RTA,RSOL
40,rc t11/t12,0.0539583338735004,0.0182291666666667,0.0112499999037633,0.0114583333294528,0.0340624998013178,0.0143749996980963,0.0123958333084981,0.0205208330104748
50,rc t11/t12,0.0666666662630935,0.0246874997392297,0.00885416675979892,0.00875000025068099,0.047291665764836,0.018958333064802,0.0139583330601454,0.0195833326627811
60,rc t11/t12,0.0806249999441206,0.0283333339417974,0.00843749990841995,0.00677083320139597,0.0507291664058963,0.0252083328862985,0.0127083330104748,0.0197916670391957
70,rc t11/t12,0.0934374999099721,0.0319791672130426,0.0125000001086543,0.00781249998059745,0.0601041670888662,0.0252083331967394,0.0108333341777325,0.0173958335071802
80,rc t11/t12,0.106458333476136,0.0359375001862645,0.00968749989988282,0.00791666666433836,0.0701041650027037,0.0295833330601454,0.0138541664928198,0.0157291653255622
90,rc t11/t12,0.117291664937511,0.0401041669150194,0.0110416665362815,0.0064583332859911,0.0805208326006929,0.0341666657477617,0.0124999998758237,0.01072916512688
100,rc t11/t12,0.133749997437311,0.0586458332836628,0.00916666673341145,0.00822916675436621,0.086874999726812,0.0391666665673256,0.0139583330601454,0.0401041675359011
110,rc t11/t12,0.150937495209898,0.134687499453624,0.011041666730307,0.00843749998603016,0.0969791670019428,0.047395832836628,0.0154166668653488,0.0196875004718701
120,rc t11/t12,0.1640624992433,0.178958334028721,0.013541666790843,0.0135416666356226,0.106875001142422,0.0784375009437402,0.0121874995529652,0.0160416650275389
130,rc t11/t12,0.181666666855259,0.225520831843217,0.0131249999588666,0.0113541664710889,0.116458332166076,0.164687499403954,0.010000001018246,0.0209375005215406
140,rc t11/t12,0.188645832977879,0.236770833532015,0.0143749998339141,0.009479166532401,0.132916664122604,0.190416666368643,0.0157291671882073,0.0213541658595204
150,rc t11/t12,0.205625000448587,0.281458330651124,0.0168749998944501,0.0101041665572363,0.14041666626387,0.22791666785876,0.0266666656049589,0.0167708341032267
60,rc L1/L2,0.0915624996026357,0.033541666654249,0.0145833334148241,0.00708333334963148,0.0570833329111338,0.0299999999503295,0.00968749945362409,0.0185416666790843
70,rc L1/L2,0.106666666766008,0.0335416663438082,0.0194791670267781,0.00843749988901739,0.0695833329421778,0.031041666554908,0.012916666145126,0.0155208328117927
80,rc L1/L2,0.117604167743896,0.0451041668032606,0.0110416668467224,0.00739583326503634,0.0869791656732559,0.0361458333209157,0.0127083333209157,0.0236458325137695
90,rc L1/L2,0.136979161839311,0.0533333333830039,0.853333332575858,0.00822916673496366,0.0925000010368725,0.0424999992052714,0.0148958343391617,0.0247916659961144
100,rc L1/L2,0.145000003414073,0.0705208331346512,0.0134375001653098,0.00875000011486312,0.0998958333705862,0.0684374999254942,0.0132291661575437,0.0232291668653488
110,rc L1/L2,0.163333334358564,0.0943749994039536,0.0203124998758237,0.00999999997050812,0.111041665853312,0.100104166815678,0.016458331917723,0.0213541674117247
120,rc L1/L2,0.179583332559559,0.129687500496705,0.0218750000931323,0.0115625000714014,0.114687500676761,0.125312498460213,0.0141666661947966,0.0172916669398546
130,rc L1/L2,0.194062501405521,0.168541664878527,0.0145833331237858,0.014062500190145,0.143541670093934,0.14291666696469,0.0168749994287888,0.021354166790843
140,rc L1/L2,0.208125000101669,0.218333336214224,0.0188541663034509,0.00937499994567285,0.178229166117186,0.153541669249535,0.0177083338300387,0.0203125004967054
150,rc L1/L2,0.228645833830039,0.213958337903023,0.018958333414048,0.0131250000752819,0.177812498024044,0.155833333730698,0.0287499995902181,0.0332291669522723
60,rc T11/T12 L1/L2,0.0851041690135996,0.0316666668901841,0.0201041666247572,0.00833333337989946,0.055937501291434,0.026354166213423,0.0152083337306976,0.0195833332836628
70,rc T11/T12 L1/L2,0.0925000010368725,0.0340624998013178,0.0147916666852931,0.00947916666821887,0.0616666682374974,0.0289583327248693,0.016145832836628,0.0177083338300387
80,rc T11/T12 L1/L2,0.113958334550261,0.0390625006208817,0.0128124999658515,0.00770833327745398,0.0753125011300047,0.0318749997143944,0.017187500372529,0.0189583320170641
90,rc T11/T12 L1/L2,0.12968749863406,0.0437500004967054,0.0148958330973983,0.00708333329142382,0.0860416662568847,0.0352083326627811,0.0142708336934447,0.0336458341528972
100,rc T11/T12 L1/L2,0.145104166857588,0.0465625002980232,0.0141666667380681,0.00697916670469567,0.0951041687900821,0.0391666668777665,0.0159375009437402,0.0213541661699613
110,rc T11/T12 L1/L2,0.158229170405927,0.0595833336313566,0.0151041666589056,0.00729166675591841,0.107708333681027,0.0430208326627811,0.0162500009561578,0.0196875010927518
120,rc T11/T12 L1/L2,0.174583332729526,0.105520833283663,0.0192708334264656,0.00770833325805143,0.11677083466202,0.0507291660954555,0.0133333330353101,0.0196875010927518
130,rc T11/T12 L1/L2,0.187187502451707,0.168749998013178,0.0129166667272026,0.00791666662553325,0.12770833230267,0.0684374999254942,0.0213541661699613,0.0230208337306976
140,rc T11/T12 L1/L2,0.201458334457129,0.217083334922791,0.0133333332681408,0.00895833332712452,0.151874998759013,0.102291667213043,0.0117708345254262,0.0211458324144284
150,rc T11/T12 L1/L2,0.221666666523864,0.230937500794729,0.019062500136594,0.00875000005665546,0.153958331347288,0.152291667958101,0.0264583337120712,0.0303124999627471
