str,EMG_Chn_1_r2,EMG_Chn_2_r2,EMG_Chn_3_r2,EMG_Chn_4_r2,EMG_Chn_5_r2,EMG_Chn_6_r2,EMG_Chn_7_r2,EMG_Chn_8_r2
40,0.00874999988203247,0.00843750019945825,0.00989583328676721,0.010416666957705,0.00645833276212215,0.0102083332215746,0.0104166666666667,0.0115625007698933
50,0.0091666664617757,0.0105208332533948,0.00968749991928538,0.0117708331284424,0.0199999999022111,0.0246874993123735,0.0128125001986821,0.0109374995032946
60,0.0155208331998438,0.15135416885217,0.00927083341715237,0.0110416665556841,0.0712500009685755,0.389791667461395,0.0128124995778004,0.0105208326131105
70,0.0344791666915019,0.673958331346512,0.00979166648661097,0.0145833330073704,0.150104170044263,0.646770834922791,0.0115625001490116,0.0126041664431492
80,0.0451041669584811,0.786770840485891,0.0119791668063651,0.022499999923942,0.207187501092752,0.837499996026357,0.0158333325137695,0.0161458322157462
90,0.0426041662382583,0.847395837306976,0.0158333332898716,0.0308333335754772,0.190520830452442,0.876562496026357,0.0163541665921609,0.0264583335568508
100,0.211145838101705,0.895833333333333,0.019999999863406,0.0394791668901841,0.170729170242945,0.863229165474574,0.0173958325758576,0.0305208340287209
110,0.261458334823449,0.915312508742015,0.0333333338300387,0.0632291659712791,0.191354165474574,0.901041676600774,0.0212499992921948,0.0309375009189049
120,0.259375005960464,0.937187522649765,0.0418750010430813,0.0540625005960464,0.15718749910593,0.924375027418137,0.0203125011175871,0.0331250000745058
40,0.00854166674738129,0.00718750013038516,0.0110416665362815,0.0102083334544053,0.0100000003973643,0.00989583367481828,0.0111458338797092,0.0116666667163372
50,0.00854166659216086,0.00875000019247333,0.0116666667163372,0.0111458334334505,0.0129166670764486,0.0110416670019428,0.0122916673620542,0.00906250004967054
60,0.0131250001528921,0.0212499992921948,0.0127083331656953,0.0182291668606922,0.0208333330228925,0.0112499998261531,0.0113541670143604,0.0143750005712112
70,0.0184374997043051,0.0591666673620542,0.0182291669771075,0.0406250000620882,0.0347916656755842,0.0263541672611609,0.0158333331346512,0.0222916652758916
80,0.0752083336313566,0.110520833482345,0.0194791670267781,0.0532291668156783,0.0558333339868113,0.0514583333084981,0.0184374988699953,0.0355208329856396
90,0.130104164282481,0.206875000149012,0.0222916665176551,0.0438541667535901,0.107187501465281,0.115625001800557,0.0236458340659738,0.0625000009313226
100,0.238958331445853,0.316249998907248,0.0231249999875824,0.0468750006208817,0.176145829260349,0.381562501192093,0.0260416655801237,0.0688541661559915
110,0.280729164679845,0.473333338896434,0.0406250000620882,0.0494791666666667,0.305416665971279,0.599791665871938,0.026145833854874,0.0588541654869914
120,0.305520832538605,0.699062491456668,0.050520833581686,0.0692708330849807,0.337708326677481,0.806979159514109,0.0295833333705862,0.0731249998013179
40,0.0104166668218871,0.00843750021886081,0.0102083333767951,0.0105208334086152,0.00812499970197678,0.00906250036011139,0.0113541663934787,0.0120833323647579
50,0.0106249998013179,0.0083333333216918,0.00989583328676721,0.0121875000962367,0.0164583333147069,0.0105208329235514,0.0121874995529652,0.0104166672875484
60,0.0108333334792405,0.00989583351959785,0.0103125000217309,0.0119791666899497,0.0207291669212282,0.078749999559174,0.010833332935969,0.0113541670143604
70,0.0237499999348074,0.0685416658719381,0.0102083332991848,0.0314583322033286,0.0605208345417244,0.306979171931744,0.0129166667660077,0.0289583348979553
80,0.0364583330228925,0.533020839095116,0.0195833332836628,0.0492708341528972,0.115416665871938,0.604270835717519,0.0150000005960464,0.031145832190911
90,0.092187499627471,0.774479160706202,0.0269791660830379,0.0462499996647239,0.161666668951511,0.811249991257985,0.0146874996523062,0.0383333340287209
100,0.236145834128062,0.844687481721242,0.0292708339790503,0.0496875004221996,0.193333332737287,0.860208342472712,0.0210416658471028,0.0454166680574417
110,0.265833330651124,0.869687497615814,0.0465625002980232,0.0694791674613953,0.197395833830039,0.907395819822947,0.0234375,0.052395835518837
120,0.253437501688798,0.927395830551783,0.0466666671757897,0.069687499354283,0.314062496026357,0.998854170242945,0.0231250002980232,0.0678125002305023
